Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Nothing,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
03/16/2018,5.3,-2.2,2,-7.7,,8.04,0,0,26,36.38,24.4,4.6,88.2,94.98,Rain, Overcast
03/17/2018,-2.8,-6.9,-4.9,-16.3,,0.69,0,0,40.5,43.25,56.1,12.9,93.4,82.07,Rain, Overcast
03/18/2018,-5,-9.1,-7.1,-19.2,,1.09,0,0,41.8,51.13,60.5,17.1,85,69.78,Rain, Overcast
03/19/2018,-5.7,-7.8,-6.6,-16.2,,1.55,0,0,29.8,64.33,56.7,12.1,92.6,79.44,Rain, Overcast
03/20/2018,-3.1,-6,-4.6,-9.8,,0.73,0,0,14.3,241.25,14.1,9.3,89.9,79.99,Rain, Overcast
03/21/2018,1.4,-6,-2.2,-9.5,,0.83,0,0,22.6,263.54,38.9,15.6,53.5,63.82,Rain, Partially cloudy
03/22/2018,5.8,-7.8,-0.9,-9.8,,0.2,0,0,28.7,198.92,39.6,13.6,29.7,59.63,Rain, Partially cloudy
03/23/2018,5.7,-5.2,0.2,0.6,,0,0,0,14.4,150.08,14,8.6,64.8,67.5,,Partially cloudy
03/24/2018,7,-3.9,1.6,-3.6,,0,0,0,19.1,75.88,32.4,9.6,44.9,71.1,,Partially cloudy
03/25/2018,9.8,-3.9,3,-5.9,,0,0,0,14.5,182.46,25.4,10.4,7,66.59,,Clear
03/26/2018,7,-1.3,3,-3,,0,0,0,13.9,184,17.4,10,73.1,69.4,,Partially cloudy
03/27/2018,5.1,0.1,2,-2.3,,2.46,0,0,18.6,216.17,21.7,7.7,83.8,84.82,Rain, Overcast
03/28/2018,7.3,-2.7,2.9,-1.7,,0.1,0,0,23.1,73.92,40.7,9.4,76.4,77.03,Rain, Overcast
03/29/2018,9.9,3.1,5.9,-0.3,,2.1,0,0,27.9,165.42,64.8,9.3,85.6,81.29,Rain, Overcast
03/30/2018,13.5,0.3,7.8,2.8,,1.09,0,0,19.1,130.42,24.9,14,64.5,67.85,Rain, Partially cloudy
04/01/2018,8.7,2.9,4.9,-3.3,,5.98,0,0,38.1,256.21,60.1,11.1,90.6,85.53,Rain, Overcast
04/02/2018,10.7,1.9,4.9,-4.7,,0.21,0,0,42,253.92,66.4,18.8,59.6,62.88,Rain, Partially cloudy
04/03/2018,19.8,-1.1,9.1,-4.5,,0,0,0,25.3,134.25,50.4,17.9,44.2,58.56,,Partially cloudy
04/04/2018,18.8,2.4,11.4,0.2,,0,0,0,11.2,111.08,50.4,16.9,53.3,62.82,,Partially cloudy
04/05/2018,17.8,4.1,11.5,2.8,,2.55,0,0,31.3,214.83,61.2,20.2,68.8,64.46,Rain, Partially cloudy
04/06/2018,11.8,3.3,8.6,1.1,,0.25,0,0,22.3,219.83,46.8,19.6,55.1,63.8,Rain, Partially cloudy
04/07/2018,17.1,-1.3,8.5,-5.9,,0,0,0,24.2,60.33,39.6,17.6,12.7,59.82,,Clear
04/08/2018,23.9,4.2,14.2,1.5,,0,0,0,22.5,88.46,43.2,18.3,27.7,61.34,,Partially cloudy
04/09/2018,26.5,7.6,17,6.8,,0,0,0,21,138.29,49,22.1,7.2,50.09,,Clear
04/10/2018,20,7,14.2,6,,0,0,0,15.5,178.71,25.4,18.9,37.7,60.36,,Partially cloudy
04/11/2018,21,7,14.1,5.5,,0,0,0,12.5,66.75,18,15.2,60.2,61.27,,Partially cloudy
04/12/2018,25.2,5.1,15.6,4.6,,0,0,0,26.2,73.5,39.2,17.6,10.8,57.93,,Clear
04/13/2018,21.8,11,15.3,,,2.2,0,0,25.3,93.29,39.6,15.2,42.6,71.49,Rain, Partially cloudy
04/14/2018,21.9,6,14.9,4.4,,0,0,0,25.7,180,54,23.3,16.3,56.49,,Clear
04/15/2018,23.2,7.7,15.7,6.2,,0,0,0,17.9,53.54,21.8,24.1,53.3,57.42,Partially cloudy
04/16/2018,22.1,12.2,16.5,,,2.15,0,0,19,123.33,39.6,17.2,82.9,70.38,Rain, Overcast
04/17/2018,17.7,12.1,14.3,,,2.29,0,0,17.9,282.33,21,14.3,70.8,78.33,Rain, Partially cloudy
04/18/2018,20.8,5.7,13.5,6.4,,0,0,0,17,250.88,33.6,17.7,7,62.23,,Clear
04/19/2018,22.9,6,15.1,5.1,,0,0,0,23.3,265.75,38.5,20.7,16.9,61.49,,Clear
04/20/2018,21,6,14.6,,,0,0,0,10.9,123.92,28.8,26.6,15.3,51.91,,Clear
04/21/2018,26,5.9,17.2,,,0,0,0,30.3,242.25,50.2,24.8,16.1,51.98,,Clear
04/22/2018,21.9,10.7,16.3,,,0,0,0,15.9,205.33,33.4,26.1,43.6,45.03,,Partially cloudy
04/23/2018,23,5,14.5,3.7,,0.63,0,0,36.6,123.75,48.8,21.2,52.2,65.12,Rain, Partially cloudy
04/24/2018,20.1,11.7,16,,,1.13,0,0,23.5,246.88,39.6,15.2,66.3,73.15,Rain, Partially cloudy
04/25/2018,24,8.1,17.1,,,0.2,0,0,40.6,210.04,63.8,18.6,61,61.38,Rain, Partially cloudy
04/26/2018,15.9,6,12.6,5.1,,4.17,0,0,29.3,239.5,45.3,20.1,54.1,75.24,Rain, Partially cloudy
04/27/2018,16.8,1.8,10.3,0,,0,0,0,14.4,173.92,28.8,20.1,27.1,64.07,Partially cloudy
04/28/2018,25.7,4.4,15.9,1.8,,0,0,0,14.6,154.29,36,22.8,32.3,59.23,Partially cloudy
04/29/2018,28.8,10.9,19.3,,27.6,1,0,0,19.4,82.63,43.2,20.2,36.8,63.95,Rain, Partially cloudy
04/30/2018,26.8,12.4,20.4,,26.4,0,0,0,26.4,130.04,46.8,21.1,48.9,57.44,Partially cloudy
05/01/2018,25.8,11.9,19.4,,,0,0,0,28.8,186.92,46.8,24.4,51.3,53.47,Partially cloudy
05/02/2018,25,11.1,17.6,,,3.3,0,0,20.7,72.54,32.4,21.3,62.1,68.37,Rain, Partially cloudy
05/03/2018,29,12.7,21,,27.9,4,0,0,25,108.75,45.1,21.2,26.3,58.11,Rain, Partially cloudy
05/04/2018,22.8,13.4,17.9,,,1.2,0,0,18.9,285.58,44.5,19.7,37.7,69.23,Rain, Partially cloudy
05/05/2018,20.1,12,15.8,,,0,0,0,18,118.54,41.4,24.3,34,54.37,Partially cloudy
05/06/2018,20.1,7.6,14.5,5.5,,0,0,0,21.7,44.75,45.3,27.7,10.2,49.77,Clear
05/07/2018,21.8,6.6,15.3,,,0,0,0,22.7,66.67,39.1,27.6,7.8,51.92,Clear
05/08/2018,19.6,10.2,15.7,,,8.2,0,0,19.4,99.92,39.6,22,61.6,68.68,Rain, Partially cloudy
05/09/2018,24.2,12.9,17.4,,,25.34,0,0,45.5,113.63,61.2,15.6,60.8,80.33,Rain, Partially cloudy
05/10/2018,25.2,12,19.2,,,9.08,0,0,31.6,67.21,48.9,20.7,28,64.68,Rain, Partially cloudy
05/11/2018,26,10.6,17.4,,,7.64,0,0,19.4,209.17,63.7,18.8,37,75.51,Rain, Partially cloudy
05/12/2018,23,12.8,17.5,,,2.1,0,0,20.6,102.5,21.1,18.6,42.3,65.9,Rain, Partially cloudy
05/13/2018,23.1,7.7,17,5.8,,0,0,0,27.5,52.58,43.2,27.3,23.4,52.46,Clear
05/14/2018,17.1,9,13.8,6.8,,0,0,0,30.9,53.29,54,26,28.9,63.76,Partially cloudy
05/15/2018,15.8,6.9,11.9,4.7,,2.22,0,0,22.8,44.25,24.8,16.9,45.2,81.93,Rain, Partially cloudy
05/16/2018,15.7,8.1,12.4,7.6,,2.73,0,0,11.5,225.79,14.1,9.2,75.3,90.33,Rain, Overcast
05/17/2018,13.9,12,12.9,,,11.79,0,0,25.2,227.08,46.8,8.5,91.2,92.9,Rain, Overcast
05/18/2018,13.8,12.8,13.2,,,18.8,0,0,27.6,250.33,45.3,8,90.9,90.82,Rain, Overcast
05/19/2018,20,12,15.2,,,9.08,0,0,20.6,285.29,24.4,17.4,57.5,71.9,Rain, Partially cloudy
05/20/2018,20,8,14.8,,,7,0,0,20.2,104.88,39.6,21.8,28.5,63.99,Rain, Partially cloudy
05/21/2018,20,6.8,14.6,5.1,,0,0,0,29.9,47.13,49,26.3,30,59.68,Partially cloudy
05/22/2018,24.1,9.8,17.2,8,,2.1,0,0,13.3,118.04,36,25.4,30.3,61.74,Rain, Partially cloudy
05/23/2018,23.9,11.8,17.9,,,7.89,0,0,19,95.13,36,21.1,52.5,76.04,Rain, Partially cloudy
05/24/2018,23.1,13.7,18.5,,,0.2,0,0,23.3,42.88,39.6,25.1,36.2,63.4,Rain, Partially cloudy
05/25/2018,23.9,11.1,18.3,,,0.6,0,0,22.5,43.79,39.6,26.3,35.5,63.3,Rain, Partially cloudy
05/26/2018,26,11.9,18.9,,,0.55,0,0,11.8,149.38,25.2,20.6,26.5,70.23,Rain, Partially cloudy
05/27/2018,26.8,13.5,20.6,,27.2,9,0,0,20,61.42,68.4,20,25.8,71.29,Rain, Partially cloudy
05/28/2018,26.9,14.1,21.2,,26.9,0.1,0,0,26.2,59.54,39.6,24.9,26.2,58.04,Rain, Partially cloudy
05/29/2018,28.6,11.9,20.4,,27.6,25.37,0,0,21.7,96.33,36,25.4,19.5,57.6,Rain
